"fips","name","population","population18To34","population18To34_me","population18To34_p","population18To34_pme","white","white_me","white_p","white_pme","minority","minority_me","minority_p","minority_pme","neverMarried","neverMarried_me","neverMarried_p","neverMarried_pme","liveAlone","liveAlone_me","liveAlone_p","liveAlone_pme","educationBachelor","educationBachelor_me","educationBachelor_p","educationBachelor_pme","civilian","veteran","veteran_me","veteran_p","veteran_pme","foreignBorn","foreignBorn_me","foreignBorn_p","foreignBorn_pme","otherLanguage","otherLanguage_me","otherLanguage_p","otherLanguage_pme","medianEarnings","medianEarnings_me","povertyUniverse","poverty","poverty_me","poverty_p","poverty_pme","employed","employed_me","employed_p","employed_pme","commuter","droveToWork","droveToWork_me","droveToWork_p","droveToWork_pme","liveWithParent","liveWithParent_me","liveWithParent_p","liveWithParent_pme"
"16","Idaho","1583364","365700","685","23.096",".04326","291890","200","79.82",".16000","73810","709","20.18",".16000","189515","2777","51.82",".75000","21360","1052","5.84",".29000","59940","1849","16.39",".50000","363315","9730","848","2.68",".23000","30850","1134","8.44",".31000","49600","1385","13.56",".38000","30199","","351295","79330","2094","22.58",".59000","243045","1985","66.46",".52000","239500","211700","2163","88.39",".55000","80310","2276","21.96",".62000"
"17","Illinois","12848554","3030525","1008","23.587",".00785","1748585","995","57.7",".04000","1281940","1434","42.3",".04000","2077910","7540","68.57",".26000","244545","3562","8.07",".12000","832725","6887","27.48",".22000","3015320","56455","1803","1.87",".06000","500570","5569","16.52",".19000","806155","5266","26.6",".17000","36546","","2887735","517980","5273","17.94",".19000","2032235","5522","67.06",".18000","2006200","1584935","5868","79",".24000","997315","6582","32.91",".22000"
"18","Indiana","6514861","1490375","1021","22.877",".01567","1153620","498","77.4",".07000","336755","1142","22.6",".07000","934770","5112","62.72",".33000","111590","2340","7.49",".16000","282870","4422","18.98",".30000","1488260","29980","1464","2.01",".10000","110520","2232","7.42",".15000","168320","2478","11.29",".16000","32313","","1386655","298270","3861","21.51",".27000","975540","3636","65.46",".24000","959010","873090","3985","91.04",".22000","405520","4252","27.21",".29000"
"19","Iowa","3062553","697265","1003","22.767",".03275","588180","271","84.36",".13000","109085","1062","15.64",".13000","429985","3042","61.67",".43000","64155","1740","9.2",".25000","155880","2943","22.36",".41000","696080","16330","977","2.35",".14000","52055","1466","7.47",".20000","71035","1486","10.19",".21000","33561","","644410","126010","2351","19.55",".35000","524160","2480","75.17",".35000","515355","451745","2806","87.66",".31000","140040","2519","20.08",".36000"
"20","Kansas","2868107","674790","795","23.527",".02772","494085","254","73.22",".10000","180705","838","26.78",".10000","397640","3310","58.93",".48000","57945","1625","8.59",".24000","152845","2929","22.65",".44000","661670","19075","1068","2.88",".16000","67890","1692","10.06",".25000","97135","1443","14.39",".21000","32239","","633615","127665","2940","20.15",".46000","472030","2904","69.95",".43000","475485","433840","3182","91.24",".34000","147210","2399","21.82",".36000"
"21","Kentucky","4361333","984395","1274","22.571",".02921","818095","317","83.11",".11000","166295","1310","16.89",".11000","577120","3949","58.63",".39000","69260","1919","7.04",".19000","175365","3024","17.81",".32000","971460","24725","1222","2.55",".12000","51625","1502","5.24",".15000","70790","1751","7.19",".18000","30879","","921115","222090","3469","24.11",".38000","621520","3310","63.14",".33000","620440","570355","3537","91.93",".26000","270130","3104","27.44",".32000"
"22","Louisiana","4567968","1113445","1145","24.375",".02507","618345","357","55.53",".07000","495100","1254","44.47",".07000","740905","4505","66.54",".39000","85940","2647","7.72",".24000","194540","3186","17.47",".29000","1102070","32060","1292","2.91",".12000","58650","1983","5.27",".18000","96100","2202","8.63",".20000","31915","","1055095","241620","4055","22.9",".38000","706230","4043","63.43",".34000","700555","644135","3817","91.95",".29000","344535","4446","30.94",".40000"
"23","Maine","1328320","262425","455","19.756",".03425","242020","92","92.22",".16000","20405","448","7.78",".16000","175115","1799","66.73",".67000","17555","936","6.69",".36000","54410","1529","20.73",".59000","261225","7425","675","2.84",".26000","9700","638","3.7",".25000","15440","931","5.88",".35000","31784","","242950","49030","1705","20.18",".70000","183335","1747","69.86",".65000","179675","155225","2074","86.39",".59000","68180","1651","25.98",".63000"
"24","Maryland","5834299","1346525","761","23.079",".01304","650995","314","48.35",".04000","695530","853","51.65",".04000","943590","4669","70.08",".36000","91625","2068","6.8",".16000","381165","3989","28.31",".29000","1328710","39450","1760","2.97",".13000","238365","3100","17.7",".23000","272145","3305","20.21",".24000","41115","","1271275","163625","3475","12.87",".27000","920075","4212","68.33",".31000","917130","747910","4800","81.55",".35000","453625","4493","33.69",".34000"
"25","Massachusetts","6605058","1558515","503","23.596",".00762","1069680","1027","68.63",".07000","488835","1128","31.37",".07000","1160640","4668","74.47",".29000","106460","2143","6.83",".14000","526515","4878","33.78",".32000","1555345","23355","1254","1.5",".08000","283140","3567","18.17",".23000","422040","4025","27.08",".26000","42701","","1404400","215715","3965","15.36",".28000","1070650","4127","68.7",".27000","1050295","762695","4623","72.62",".33000","487680","3902","31.29",".25000"
"26","Michigan","9886095","2159355","738","21.842",".00747","1559905","406","72.24",".03000","599450","823","27.76",".03000","1490340","5787","69.02",".27000","157280","2700","7.28",".13000","426105","4588","19.73",".22000","2156425","37165","1448","1.72",".07000","162130","2550","7.51",".12000","238055","2614","11.02",".12000","32224","","2053205","493725","5360","24.05",".27000","1372510","5091","63.56",".24000","1343825","1214390","5089","90.37",".18000","707600","5358","32.77",".25000"
"27","Minnesota","5347740","1231190","760","23.023",".01421","954285","285","77.51",".05000","276910","814","22.49",".05000","798435","4876","64.85",".40000","105595","2017","8.58",".16000","333125","3559","27.06",".29000","1229805","23110","1007","1.88",".08000","139965","2267","11.37",".18000","179350","2309","14.57",".19000","37206","","1169375","197420","2907","16.88",".25000","930045","3683","75.54",".30000","913105","783965","3868","85.86",".23000","291440","2776","23.67",".22000"
"28","Mississippi","2976872","696735","1061","23.405",".03564","363680","332","52.2",".08000","333055","1010","47.8",".08000","453515","3518","65.09",".49000","39675","1735","5.69",".25000","98790","2776","14.18",".40000","687970","18745","1138","2.72",".17000","24860","1266","3.57",".18000","39770","1481","5.71",".21000","28589","","646680","177995","3188","27.52",".48000","397020","3475","56.98",".50000","397385","374185","3413","94.16",".27000","228975","3465","32.86",".50000"
"29","Missouri","6007182","1375710","1022","22.901",".01701","1061780","449","77.18",".07000","313930","1131","22.82",".07000","855495","4784","62.19",".35000","113320","2067","8.24",".15000","300510","4406","21.84",".33000","1359055","35365","1351","2.6",".10000","77415","2131","5.63",".16000","113520","2338","8.25",".17000","31594","","1291190","267735","4390","20.74",".34000","938730","3781","68.24",".28000","936650","846475","3971","90.37",".19000","357220","4005","25.97",".29000"
"30","Montana","998554","221215","618","22.154",".06189","187205","184","84.63",".23000","34010","594","15.37",".23000","138280","1660","62.51",".72000","18460","841","8.34",".38000","45125","1501","20.4",".68000","218255","7575","728","3.47",".33000","4620","491","2.09",".22000","11935","748","5.4",".34000","30579","","209680","48530","1711","23.14",".79000","152915","1616","69.13",".75000","152235","130550","1872","85.76",".76000","46965","1556","21.23",".71000"
"31","Nebraska","1841625","433640","541","23.547",".02938","336255","203","77.54",".11000","97385","589","22.46",".11000","261780","2594","60.37",".60000","42075","1378","9.7",".32000","100960","1908","23.28",".44000","430235","13320","777","3.1",".18000","43875","1509","10.12",".35000","60750","1566","14.01",".36000","32136","","406465","75750","2156","18.64",".53000","328755","1852","75.81",".42000","325910","297215","2050","91.2",".33000","88435","2082","20.39",".48000"
"32","Nevada","2730066","640950","416","23.477",".01524","295320","346","46.08",".06000","345630","493","53.92",".06000","398800","3019","62.22",".47000","45820","1752","7.15",".27000","97890","2481","15.27",".39000","634365","19795","1157","3.12",".18000","142985","2555","22.31",".40000","220900","2751","34.46",".43000","33252","","626440","110225","2943","17.6",".47000","423755","3284","66.11",".51000","422190","377945","3302","89.52",".41000","177295","2987","27.66",".47000"
"33","New Hampshire","1319171","272140","420","20.630",".03184","242820","202","89.23",".16000","29320","480","10.77",".16000","187290","1803","68.82",".65000","16835","1076","6.19",".40000","67765","1918","24.9",".71000","271245","6340","644","2.34",".24000","16920","784","6.22",".29000","23995","1060","8.82",".39000","36452","","246835","32600","1623","13.21",".66000","194965","2166","71.64",".79000","190945","170000","1983","89.03",".46000","83940","1999","30.84",".73000"
"34","New Jersey","8832406","1900210","471","21.514",".00533","936275","967","49.27",".05000","963935","1080","50.73",".05000","1351865","5306","71.14",".28000","99515","2178","5.24",".12000","567450","4929","29.86",".27000","1895060","26315","1240","1.39",".07000","488405","5275","25.7",".27000","695780","5146","36.62",".27000","41393","","1817275","227790","4415","12.53",".24000","1253340","4857","65.96",".25000","1229180","946740","4195","77.02",".27000","773715","4765","40.72",".25000"
"35","New Mexico","2069706","479400","787","23.163",".03802","156845","385","32.72",".08000","322555","753","67.28",".08000","308510","3286","64.35",".66000","30130","1297","6.28",".27000","69035","1979","14.4",".41000","473090","15750","833","3.33",".18000","55690","2064","11.62",".43000","174885","3144","36.48",".66000","29271","","459540","114865","2391","25",".51000","295920","2666","61.73",".56000","296745","271000","2877","91.32",".44000","148815","2796","31.04",".58000"
"36","New York","19487053","4701430","1110","24.126",".00570","2429170","779","51.67",".02000","2272260","1383","48.33",".02000","3464515","8721","73.69",".18000","336265","3836","7.15",".09000","1426830","8959","30.35",".19000","4682210","62125","1799","1.33",".04000","1110820","8588","23.63",".18000","1584910","7694","33.71",".16000","39290","","4426155","797935","7968","18.03",".18000","2992905","7313","63.66",".16000","2941790","1562610","8016","53.12",".21000","1679970","8304","35.73",".18000"
